stage,algorithm_id,original_name,published_name,published_path,dependencies,platform,source_sha256,published_sha256,verification_status
05_node_importance_robustness,04,robust_active_exact.py,04_exact_network_robustness.py,reproducibility/code/05_node_importance_robustness/04_exact_network_robustness.py,matplotlib; networkx; numpy; pandas; tqdm,Windows/Linux,51b7901d4f1f3c219b1c5152234c65b293009323f7a71941c625ade28363aae5,d6098c562a8973683942a217d15e9b3a99c730f6bb61299ecc40991f5c42077a,heavy_preflight_only
05_node_importance_robustness,05,closeness_robust.py,05_closeness_attack_curves.py,reproducibility/code/05_node_importance_robustness/05_closeness_attack_curves.py,networkx; numpy; pandas; tqdm,Windows/Linux,21d1e4000f9499da9a6a3195dfe7a51e62bba07d7ade84e267e86d97c5decb68,b5a4d45a6845c86bfcb0c79b9424919f9f89909d884b8f454aeb66797a40822c,verified
06_fractal_analysis,01,net_fractional.py,01_integrated_fractal_analysis.py,reproducibility/code/06_fractal_analysis/01_integrated_fractal_analysis.py,matplotlib; networkx; numpy; pandas; scipy,Windows/Linux,cde0e42210491e875cb152fddc7a97983cc3f2f6991f5010769bd04f240998cf,adf788b4457e1e627f009534decbd38cf7743ffc998467cd7b536ea5bb37132a,verified
06_fractal_analysis,02,fractal_MST.py,02_fractal_mst_statistics.py,reproducibility/code/06_fractal_analysis/02_fractal_mst_statistics.py,networkx; numpy; pandas,Windows/Linux,c5b01fadc84908d5da3bf08f9877af11bbf8f6f6cce99cf58e9a86a9fe190bdf,89f04d77b48b424ea30560e893375b07ac323324a84d2e43a478269085d0d56a,verified
06_fractal_analysis,03,fractal_rg.py,03_fractal_rg_flow.py,reproducibility/code/06_fractal_analysis/03_fractal_rg_flow.py,networkx; numpy; pandas; scipy,Windows/Linux,22e6577cf4152b71625c346d909593527a81263c4fdd40ceefc5638415e54982,b92995f90e58379764549f34474d6df582031fd877f8a014e59b8e5266aa1e61,verified
06_fractal_analysis,04,fractional_3net.py,04_fractal_three_network_comparison.py,reproducibility/code/06_fractal_analysis/04_fractal_three_network_comparison.py,networkx; numpy; pandas; scipy,Windows/Linux,ffb2d14990e16acfaf66829d98468dca7073f6deb897ded8a422584e3d4a6de9,b010a8da3615a34aefc20c20538186e39b272cc5f8d444d10667762515a1c9fa,verified
06_fractal_analysis,05,fractional_degree_relative.py,05_degree_correlation_randomization.py,reproducibility/code/06_fractal_analysis/05_degree_correlation_randomization.py,networkx; numpy; pandas,Windows/Linux,95a78fad8bb031c6b2236cde3c089a56a81fc43aa5f329d8e2599dadb346341c,d8c9f3fbe02c336abac5c47c255a042b96fedb2fc0aa953da5c94b1058714420,verified
06_fractal_analysis,06,fractal_exist.py,06_fractal_dimension_regression.py,reproducibility/code/06_fractal_analysis/06_fractal_dimension_regression.py,matplotlib; numpy; pandas; scipy,Windows/Linux,74f43a0578bd5ce084e4a95b4110c50e561252d623351234b170e871c14de6bc,39b93721aaaeba8c5784046a537cf69b4d0e684b224d2590dc8d0e69bcc26043,verified
07_hierarchy_core_periphery,01,WBSBM_final1.py,01_nested_weighted_dcsbm.py,reproducibility/code/07_hierarchy_core_periphery/01_nested_weighted_dcsbm.py,graph_tool; networkx; numpy; pandas; scipy,Linux（graph-tool）,db966666922c13e98bc275c2248893eedad413a4e35674cc450865c31567145f,cede7af627b9ecc58bc09dbac8c5247733fe21396e8249301f242439a8a79617,heavy_preflight_only
07_hierarchy_core_periphery,02,role_table.py,02_rw_core_periphery_roles.py,reproducibility/code/07_hierarchy_core_periphery/02_rw_core_periphery_roles.py,matplotlib; numpy; pandas; scipy,Windows/Linux,a281b8bd6831f82d49b8371fe3720d48101c3b0a513553ced26fee017242d77e,1063d78ff0b00bbabda8586e2c6fa596927870d71eafff4085b1a7520e7e69b9,verified
07_hierarchy_core_periphery,03,WBSBM_final1.py,03_km_core_periphery_block_analysis.py,reproducibility/code/07_hierarchy_core_periphery/03_km_core_periphery_block_analysis.py,cpnet; matplotlib; networkx; numpy; pandas; scipy,Windows/Linux,c071d43ac1fe1c208e3eb5a7a04a2d341c5206f391a85d6fe60277967572c4bb,512653fc6054eb295ad12a01035f600def47aa01c69b3a0b4ae9e163bb9f8fe1,verified
08_ergm,01,model_5.R,01_valued_ergm_models.R,reproducibility/code/08_ergm/01_valued_ergm_models.R,xml2; network; ergm; ergm.count; coda,R,23e897b7b64a82da62d7eecfaecc458aba97c64c3205285f64c0a1628815305b,8095335bdf523082e9ad990b9546a95b77e538653f6f02a27131d12c6ea763bd,heavy_preflight_only
