d,mean_b
0,101.0
1,5.564356435643564
2,1.898576512455516
3,1.5445173383317714
4,1.3125
5,1.203883495145631
6,0.9589093701996928
7,0.8606327593111734
8,0.7249883666821778
9,0.6887034659820283
10,0.6318732525629077
11,0.6047197640117994
12,0.6439024390243903
13,0.5757575757575758
14,0.7894736842105263
15,0.4166666666666667
16,0.26
17,0.6153846153846154
18,0.125
19,0.0
