author_id,first_year,membership,degree_overall,degree_active,degree_backbone
author_115774,2019,Active,6,6,0
author_102746,2017,Active,6,6,0
author_42945,2012,Active,6,6,0
author_100237,2017,Active,6,6,0
author_68377,2014,Active,6,6,0
author_170431,2022,Active,6,6,0
author_148904,2021,Active,6,6,0
author_5967,2007,Active,6,6,0
author_26093,2010,Active,6,6,0
author_143062,2021,Active,6,6,0
author_103817,2018,Active,6,6,0
author_15585,2008,Active,6,6,0
author_126696,2019,Active,6,6,0
author_197995,2024,Active,6,6,0
author_37951,2011,Active,6,6,0
author_93911,2017,Active,6,6,0
author_28,2006,Active,6,6,0
author_59568,2014,Active,6,6,0
author_175753,2023,Active,6,6,0
author_83423,2016,Active,6,6,0
author_69185,2014,Active,6,6,0
author_149677,2021,Active,6,6,0
author_68077,2014,Active,6,6,0
author_41593,2012,Active,6,6,0
author_51699,2013,Active,6,6,0
author_139748,2020,Active,6,6,0
author_115111,2019,Active,6,6,0
author_40037,2011,Active,6,6,0
author_135699,2020,Active,6,6,0
author_40520,2011,Active,6,6,0
author_199767,2024,Active,6,6,0
author_82741,2016,Active,6,6,0
author_16268,2008,Active,6,6,0
author_134422,2020,Active,6,6,0
author_176393,2023,Active,6,6,0
author_100239,2017,Active,6,6,0
author_112698,2018,Active,6,6,0
author_82481,2016,Active,6,6,0
author_65972,2014,Active,6,6,0
author_11810,2008,Active,6,6,0
author_154223,2022,Active,6,6,0
author_48734,2012,Active,6,6,0
author_49229,2012,Active,6,6,0
author_31097,2010,Active,6,6,0
author_133818,2020,Active,6,6,0
author_73057,2015,Active,6,6,0
author_140849,2020,Active,6,6,0
author_131287,2020,Active,6,6,0
author_37408,2011,Active,6,6,0
author_144673,2021,Active,6,6,0
author_143086,2021,Active,6,6,0
author_107868,2018,Active,6,6,0
author_51697,2013,Active,6,6,0
author_138775,2020,Active,6,6,0
author_68378,2014,Active,6,6,0
author_83116,2016,Active,6,6,0
author_138859,2020,Active,6,6,0
author_99745,2017,Active,6,6,0
author_27191,2010,Active,6,6,0
author_79246,2015,Active,6,6,0
author_138600,2020,Active,6,6,0
author_199766,2024,Active,6,6,0
author_41619,2012,Active,6,6,0
author_89018,2016,Active,6,6,0
author_201864,2024,Active,6,6,0
author_79598,2015,Active,6,6,0
author_58625,2013,Active,6,6,0
author_88224,2016,Active,6,6,0
author_99031,2017,Active,6,6,0
author_182097,2023,Active,6,6,0
author_92954,2017,Active,6,6,0
author_61729,2014,Active,6,6,0
author_15558,2008,Active,6,6,0
author_45765,2012,Active,6,6,0
author_27210,2010,Active,6,6,0
author_53173,2013,Active,6,6,0
author_151762,2021,Active,6,6,0
author_34416,2011,Active,6,6,0
author_199770,2024,Active,6,6,0
author_172356,2022,Active,6,6,0
author_77048,2015,Active,6,6,0
author_43625,2012,Active,6,6,0
author_175754,2023,Active,6,6,0
author_68379,2014,Active,6,6,0
author_172220,2022,Active,6,6,0
author_5965,2007,Active,6,6,0
author_159490,2022,Active,6,6,0
author_51456,2013,Active,6,6,0
author_114138,2018,Active,6,6,0
author_141867,2020,Active,6,6,0
author_138710,2020,Active,6,6,0
author_92370,2017,Active,6,6,0
author_110555,2018,Active,6,6,0
author_160345,2022,Active,6,6,0
author_174045,2023,Active,6,6,0
author_160653,2022,Active,6,6,0
author_107829,2018,Active,6,6,0
author_120856,2019,Active,6,6,0
author_36892,2011,Active,6,6,0
author_58618,2013,Active,6,6,0
author_19110,2009,Active,6,6,0
author_138669,2020,Active,6,6,0
author_143084,2021,Active,6,6,0
author_76459,2015,Active,40,5,0
author_37138,2011,Active,36,5,0
author_17818,2008,Active,35,5,0
author_68397,2014,Active,33,5,0
author_142113,2020,Active,30,5,0
author_142111,2020,Active,30,5,0
author_125118,2019,Active,29,5,0
author_61179,2014,Active,28,5,0
author_63707,2014,Active,27,5,0
author_164502,2022,Active,27,5,0
author_164522,2022,Active,27,5,0
author_48680,2012,Active,27,5,0
author_164521,2022,Active,27,5,0
author_146549,2021,Active,27,5,0
author_164503,2022,Active,27,5,0
author_146551,2021,Active,27,5,0
author_139834,2021,Active,26,5,0
author_125113,2019,Active,25,5,0
author_125122,2019,Active,25,5,0
author_37972,2011,Active,25,5,0
author_78295,2015,Active,24,5,0
author_92628,2017,Active,24,5,0
author_171540,2022,Active,23,5,0
author_94377,2017,Active,23,5,0
author_70267,2015,Active,23,5,0
author_70271,2015,Active,23,5,0
author_171539,2022,Active,23,5,0
author_19853,2009,Active,23,5,0
author_184369,2023,Active,22,5,0
author_198875,2024,Active,22,5,0
author_74060,2015,Active,21,5,0
author_65849,2014,Active,21,5,0
author_36958,2011,Active,21,5,0
author_123941,2019,Active,21,5,0
author_36948,2011,Active,21,5,0
author_36949,2011,Active,21,5,0
author_123942,2019,Active,21,5,0
author_36954,2011,Active,21,5,0
author_113376,2018,Active,21,5,0
author_36944,2011,Active,21,5,0
author_76610,2015,Active,20,5,0
author_129669,2020,Active,20,5,0
author_155787,2021,Active,20,5,0
author_193711,2024,Active,20,5,0
author_89926,2016,Active,20,5,0
author_155785,2021,Active,20,5,0
author_110228,2018,Active,20,5,0
author_15529,2008,Active,20,5,0
author_61940,2014,Active,20,5,0
author_138901,2021,Active,20,5,0
author_186548,2023,Active,19,5,0
author_169276,2022,Active,19,5,0
author_95390,2017,Active,19,5,0
author_125597,2019,Active,19,5,0
author_75136,2015,Active,19,5,0
author_5056,2006,Active,19,5,0
author_33728,2011,Active,19,5,0
author_89912,2016,Active,19,5,0
author_147550,2021,Active,18,5,0
author_203640,2024,Active,18,5,0
author_176158,2023,Active,18,5,0
author_33984,2011,Active,18,5,0
author_125874,2019,Active,18,5,0
author_10625,2007,Active,18,5,0
author_70266,2015,Active,18,5,0
author_65508,2014,Active,18,5,0
author_71612,2015,Active,18,5,0
author_59029,2014,Active,18,5,0
author_94407,2017,Active,18,5,0
author_101772,2017,Active,18,5,0
author_65511,2014,Active,18,5,0
author_148640,2021,Active,18,5,0
author_55477,2013,Active,18,5,0
author_151365,2021,Active,17,5,0
author_169862,2022,Active,17,5,0
author_149803,2021,Active,17,5,0
author_23899,2009,Active,17,5,0
author_135643,2020,Active,17,5,0
author_83875,2016,Active,17,5,0
author_54424,2013,Active,17,5,0
author_126341,2019,Active,17,5,0
author_34741,2011,Active,17,5,0
author_115099,2019,Active,17,5,0
author_125042,2019,Active,17,5,0
author_159747,2022,Active,17,5,0
author_80402,2016,Active,17,5,0
author_21329,2009,Active,17,5,0
author_94535,2017,Active,17,5,0
author_135644,2020,Active,17,5,0
author_19453,2009,Active,17,5,0
author_47663,2012,Active,17,5,0
author_134124,2020,Active,16,5,0
author_106140,2018,Active,16,5,0
author_142069,2020,Active,16,5,0
author_134131,2020,Active,16,5,0
author_89153,2016,Active,16,5,0
author_141133,2020,Active,16,5,0
author_18559,2009,Active,16,5,0
author_67497,2014,Active,16,5,0
author_65844,2014,Active,16,5,0
author_19458,2009,Active,16,5,0
author_19456,2009,Active,16,5,0
author_92223,2017,Active,16,5,0
author_100975,2017,Active,16,5,0
author_133861,2020,Active,16,5,0
author_19457,2009,Active,16,5,0
author_151084,2021,Active,16,5,0
author_141137,2020,Active,16,5,0
author_30618,2010,Active,16,5,0
author_52913,2013,Active,16,5,0
author_82346,2016,Active,15,5,0
author_28287,2010,Active,15,5,0
author_75089,2015,Active,15,5,0
author_182284,2023,Active,15,5,0
author_20807,2009,Active,15,5,0
author_91414,2017,Active,15,5,0
author_13154,2008,Active,15,5,0
author_188799,2023,Active,15,5,0
author_69609,2015,Active,15,5,0
author_75887,2015,Active,15,5,0
author_75886,2015,Active,15,5,0
author_54230,2013,Active,15,5,0
author_188797,2023,Active,15,5,0
author_39727,2011,Active,15,5,0
author_124522,2019,Active,15,5,0
author_25409,2010,Active,15,5,0
author_176461,2023,Active,15,5,0
author_18863,2009,Active,15,5,0
author_80780,2016,Active,15,5,0
author_78358,2015,Active,15,5,0
author_47628,2012,Active,15,5,0
author_22406,2009,Active,15,5,0
author_8968,2007,Active,15,5,0
author_160497,2022,Active,15,5,0
author_16280,2008,Active,15,5,0
author_23534,2009,Active,15,5,0
author_25682,2010,Active,15,5,0
author_62275,2014,Active,15,5,0
author_188802,2023,Active,15,5,0
author_87590,2016,Active,15,5,0
author_102233,2017,Active,15,5,0
author_82786,2016,Active,14,5,0
author_127287,2019,Active,14,5,0
author_15748,2008,Active,14,5,0
author_54382,2013,Active,14,5,0
author_119237,2019,Active,14,5,0
author_15989,2008,Active,14,5,0
author_199556,2024,Active,14,5,0
author_49702,2013,Active,14,5,0
author_44779,2012,Active,14,5,0
author_8965,2007,Active,14,5,0
author_105789,2018,Active,14,5,0
author_64007,2014,Active,14,5,0
author_103440,2018,Active,14,5,0
author_146526,2021,Active,14,5,0
author_68975,2014,Active,14,5,0
author_60237,2014,Active,14,5,0
author_149002,2021,Active,14,5,0
author_106247,2018,Active,14,5,0
author_3904,2006,Active,14,5,0
author_183393,2023,Active,14,5,0
author_59056,2014,Active,14,5,0
author_145605,2021,Active,14,5,0
author_30023,2010,Active,14,5,0
author_82781,2016,Active,14,5,0
author_63964,2014,Active,14,5,0
author_6910,2007,Active,14,5,0
author_104312,2018,Active,14,5,0
author_124008,2019,Active,14,5,0
author_130965,2020,Active,14,5,0
author_112601,2018,Active,14,5,0
author_5058,2006,Active,14,5,0
author_78093,2015,Active,14,5,0
author_9140,2007,Active,14,5,0
author_13954,2008,Active,14,5,0
author_116115,2019,Active,14,5,0
author_116114,2019,Active,14,5,0
author_59513,2014,Active,13,5,0
author_48858,2012,Active,13,5,0
author_133591,2021,Active,13,5,0
author_163438,2022,Active,13,5,0
author_16911,2008,Active,13,5,0
author_85565,2016,Active,13,5,0
author_81041,2016,Active,13,5,0
author_13657,2008,Active,13,5,0
author_165329,2022,Active,13,5,0
author_69470,2015,Active,13,5,0
author_132662,2021,Active,13,5,0
author_14975,2008,Active,13,5,0
author_7684,2007,Active,13,5,0
author_173028,2022,Active,13,5,0
author_61971,2014,Active,13,5,0
author_152116,2021,Active,13,5,0
author_45413,2012,Active,13,5,0
author_32478,2011,Active,13,5,0
author_48349,2012,Active,13,5,0
author_151087,2021,Active,13,5,0
author_131003,2020,Active,13,5,0
author_54269,2013,Active,13,5,0
author_30467,2010,Active,13,5,0
author_61900,2014,Active,13,5,0
author_187778,2023,Active,13,5,0
author_11465,2007,Active,13,5,0
author_125984,2019,Active,13,5,0
author_32451,2011,Active,13,5,0
author_125260,2019,Active,13,5,0
author_140950,2020,Active,13,5,0
author_81661,2016,Active,13,5,0
author_12201,2008,Active,13,5,0
author_74574,2015,Active,13,5,0
author_45808,2012,Active,13,5,0
author_107519,2018,Active,12,5,0
author_12053,2008,Active,12,5,0
author_120343,2019,Active,12,5,0
author_24663,2009,Active,12,5,0
author_171238,2024,Active,12,5,0
author_82352,2016,Active,12,5,0
author_18327,2009,Active,12,5,0
author_70118,2015,Active,12,5,0
author_20891,2009,Active,12,5,0
author_118344,2019,Active,12,5,0
author_69135,2014,Active,12,5,0
author_103991,2018,Active,12,5,0
author_101784,2017,Active,12,5,0
author_122404,2020,Active,12,5,0
author_188932,2023,Active,12,5,0
author_18410,2009,Active,12,5,0
author_65840,2014,Active,12,5,0
author_129662,2020,Active,12,5,0
author_104847,2018,Active,12,5,0
author_95756,2017,Active,12,5,0
author_1080,2006,Active,12,5,0
author_158703,2021,Active,12,5,0
author_202544,2024,Active,12,5,0
author_38959,2011,Active,12,5,0
author_80496,2016,Active,12,5,0
author_140975,2020,Active,12,5,0
author_80841,2016,Active,12,5,0
author_9400,2007,Active,12,5,0
author_162609,2022,Active,12,5,0
author_38206,2011,Active,12,5,0
author_81678,2016,Active,12,5,0
author_138099,2020,Active,12,5,0
author_51342,2013,Active,12,5,0
author_90868,2016,Active,12,5,0
author_45979,2012,Active,12,5,0
author_1072,2006,Active,12,5,0
author_162962,2022,Active,12,5,0
author_91838,2017,Active,12,5,0
author_70265,2015,Active,12,5,0
author_129663,2020,Active,12,5,0
author_120333,2019,Active,12,5,0
author_100284,2017,Active,12,5,0
author_84848,2016,Active,12,5,0
author_25739,2010,Active,12,5,0
author_33253,2011,Active,12,5,0
author_144424,2021,Active,12,5,0
author_76890,2015,Active,12,5,0
author_14722,2008,Active,12,5,0
author_15986,2008,Active,12,5,0
author_15160,2008,Active,12,5,0
author_119829,2019,Active,12,5,0
author_119412,2019,Active,12,5,0
author_74971,2015,Active,12,5,0
author_187137,2024,Active,12,5,0
author_46018,2012,Active,11,5,0
author_60183,2014,Active,11,5,0
author_72183,2015,Active,11,5,0
author_125136,2019,Active,11,5,0
author_14912,2008,Active,11,5,0
author_64920,2014,Active,11,5,0
author_851,2006,Active,11,5,0
author_33598,2011,Active,11,5,0
author_101045,2017,Active,11,5,0
author_197821,2024,Active,11,5,0
author_38109,2011,Active,11,5,0
author_27754,2010,Active,11,5,0
author_22273,2009,Active,11,5,0
author_150605,2022,Active,11,5,0
author_93362,2017,Active,11,5,0
author_135852,2020,Active,11,5,0
author_52834,2013,Active,11,5,0
author_148898,2021,Active,11,5,0
author_175724,2023,Active,11,5,0
author_159097,2022,Active,11,5,0
author_51528,2013,Active,11,5,0
author_160866,2021,Active,11,5,0
author_24643,2009,Active,11,5,0
author_122405,2020,Active,11,5,0
author_89517,2016,Active,11,5,0
author_25370,2010,Active,11,5,0
author_73370,2015,Active,11,5,0
author_135686,2020,Active,11,5,0
author_135338,2020,Active,11,5,0
author_78297,2015,Active,11,5,0
author_73438,2015,Active,11,5,0
author_20368,2009,Active,11,5,0
author_174871,2023,Active,11,5,0
author_89789,2016,Active,11,5,0
author_154069,2022,Active,11,5,0
author_51115,2013,Active,11,5,0
author_34985,2011,Active,11,5,0
author_21581,2009,Active,11,5,0
author_72359,2015,Active,11,5,0
author_125928,2019,Active,11,5,0
author_215842,2025,Active,11,5,0
author_151730,2021,Active,11,5,0
author_89533,2016,Active,11,5,0
author_49269,2012,Active,11,5,0
author_32597,2011,Active,11,5,0
author_37966,2011,Active,11,5,0
author_164485,2023,Active,11,5,0
author_177369,2023,Active,11,5,0
author_79162,2015,Active,11,5,0
author_70441,2015,Active,11,5,0
author_31660,2010,Active,11,5,0
author_14348,2008,Active,11,5,0
author_104059,2018,Active,11,5,0
author_49362,2012,Active,11,5,0
author_7723,2007,Active,11,5,0
author_64921,2014,Active,11,5,0
author_139244,2020,Active,11,5,0
author_38658,2011,Active,11,5,0
author_150935,2021,Active,11,5,0
author_76722,2015,Active,11,5,0
author_166605,2022,Active,11,5,0
author_92051,2017,Active,11,5,0
author_7638,2007,Active,11,5,0
author_129660,2020,Active,11,5,0
author_107837,2018,Active,11,5,0
author_133699,2020,Active,11,5,0
author_13438,2008,Active,11,5,0
author_92022,2017,Active,11,5,0
author_25904,2010,Active,11,5,0
author_105526,2018,Active,11,5,0
author_101050,2017,Active,11,5,0
author_62655,2014,Active,11,5,0
author_17589,2008,Active,11,5,0
author_143078,2021,Active,11,5,0
author_52706,2013,Active,11,5,0
author_162619,2022,Active,11,5,0
author_23241,2009,Active,11,5,0
author_126876,2019,Active,11,5,0
author_64916,2014,Active,11,5,0
author_56293,2013,Active,11,5,0
author_162931,2022,Active,11,5,0
author_70714,2015,Active,11,5,0
author_858,2006,Active,11,5,0
author_111178,2018,Active,11,5,0
author_95830,2017,Active,11,5,0
author_135684,2020,Active,11,5,0
author_89531,2016,Active,11,5,0
author_62652,2014,Active,11,5,0
author_89518,2016,Active,11,5,0
author_25272,2010,Active,11,5,0
author_191435,2024,Active,11,5,0
author_154083,2021,Active,11,5,0
author_69604,2015,Active,11,5,0
author_49722,2013,Active,11,5,0
author_58871,2013,Active,11,5,0
author_6974,2007,Active,11,5,0
author_157683,2022,Active,11,5,0
author_88304,2016,Active,11,5,0
author_72913,2015,Active,10,5,0
author_78613,2015,Active,10,5,0
author_55219,2013,Active,10,5,0
author_122401,2020,Active,10,5,0
author_58284,2013,Active,10,5,0
author_74164,2015,Active,10,5,0
author_94917,2017,Active,10,5,0
author_104183,2018,Active,10,5,0
author_111119,2018,Active,10,5,0
author_60285,2014,Active,10,5,0
author_24267,2009,Active,10,5,0
author_150411,2021,Active,10,5,0
author_152758,2021,Active,10,5,0
author_74147,2015,Active,10,5,0
author_152670,2021,Active,10,5,0
author_44958,2012,Active,10,5,0
author_149525,2021,Active,10,5,0
author_32215,2010,Active,10,5,0
author_106625,2018,Active,10,5,0
author_25541,2010,Active,10,5,0
author_166609,2022,Active,10,5,0
author_74577,2015,Active,10,5,0
author_10046,2007,Active,10,5,0
author_52426,2013,Active,10,5,0
author_192406,2024,Active,10,5,0
author_141128,2020,Active,10,5,0
author_13041,2008,Active,10,5,0
author_57111,2013,Active,10,5,0
author_79014,2015,Active,10,5,0
author_148538,2021,Active,10,5,0
author_101787,2017,Active,10,5,0
author_108058,2018,Active,10,5,0
author_140949,2020,Active,10,5,0
author_64078,2014,Active,10,5,0
author_55844,2013,Active,10,5,0
author_41777,2012,Active,10,5,0
author_71481,2015,Active,10,5,0
author_132357,2020,Active,10,5,0
author_80313,2016,Active,10,5,0
author_70715,2015,Active,10,5,0
author_72908,2015,Active,10,5,0
author_125537,2019,Active,10,5,0
author_50054,2013,Active,10,5,0
author_57112,2013,Active,10,5,0
author_205677,2024,Active,10,5,0
author_135332,2020,Active,10,5,0
author_90487,2016,Active,10,5,0
author_41818,2012,Active,10,5,0
author_116210,2019,Active,10,5,0
author_153147,2021,Active,10,5,0
author_15438,2008,Active,10,5,0
author_78092,2015,Active,10,5,0
author_35560,2011,Active,10,5,0
author_20582,2009,Active,10,5,0
author_42697,2012,Active,10,5,0
author_116710,2019,Active,10,5,0
author_189685,2023,Active,10,5,0
author_114570,2019,Active,10,5,0
author_127870,2020,Active,10,5,0
author_29089,2010,Active,10,5,0
author_77396,2015,Active,10,5,0
author_78089,2015,Active,10,5,0
author_42657,2012,Active,10,5,0
author_27715,2010,Active,10,5,0
author_22496,2009,Active,10,5,0
author_43422,2012,Active,10,5,0
author_128720,2020,Active,10,5,0
author_168405,2022,Active,10,5,0
author_172990,2022,Active,10,5,0
author_55324,2013,Active,10,5,0
author_137804,2021,Active,10,5,0
author_94916,2017,Active,10,5,0
author_71144,2015,Active,10,5,0
author_39884,2011,Active,10,5,0
author_77784,2015,Active,10,5,0
author_46825,2012,Active,10,5,0
author_76351,2015,Active,10,5,0
author_3107,2006,Active,10,5,0
author_103339,2018,Active,10,5,0
author_152648,2021,Active,10,5,0
author_122946,2019,Active,10,5,0
author_57397,2013,Active,10,5,0
author_26632,2010,Active,10,5,0
author_59031,2014,Active,10,5,0
author_22290,2009,Active,10,5,0
author_94915,2017,Active,10,5,0
author_85979,2016,Active,10,5,0
author_93432,2017,Active,10,5,0
author_14792,2008,Active,10,5,0
author_103775,2018,Active,10,5,0
author_116215,2019,Active,10,5,0
author_198673,2024,Active,10,5,0
author_33965,2011,Active,10,5,0
author_202977,2024,Active,10,5,0
author_178210,2023,Active,10,5,0
author_197824,2024,Active,10,5,0
author_74810,2015,Active,10,5,0
author_27713,2010,Active,10,5,0
author_112313,2018,Active,10,5,0
author_171287,2023,Active,10,5,0
author_15795,2008,Active,10,5,0
author_71743,2015,Active,10,5,0
author_168772,2022,Active,10,5,0
author_27550,2010,Active,10,5,0
author_161314,2022,Active,10,5,0
author_44258,2012,Active,10,5,0
author_50944,2013,Active,10,5,0
author_79457,2015,Active,10,5,0
author_48121,2012,Active,10,5,0
author_109725,2018,Active,10,5,0
author_19232,2009,Active,10,5,0
author_73347,2015,Active,10,5,0
author_3128,2006,Active,10,5,0
author_152761,2021,Active,10,5,0
author_54400,2013,Active,10,5,0
author_60464,2014,Active,10,5,0
author_98226,2017,Active,10,5,0
author_27717,2010,Active,10,5,0
author_22164,2009,Active,10,5,0
author_12582,2008,Active,10,5,0
author_90974,2016,Active,10,5,0
author_48188,2012,Active,10,5,0
author_69449,2015,Active,10,5,0
author_1369,2006,Active,10,5,0
author_48573,2012,Active,10,5,0
author_180284,2023,Active,10,5,0
author_57583,2013,Active,9,5,0
author_67453,2014,Active,9,5,0
author_14983,2008,Active,9,5,0
author_51367,2013,Active,9,5,0
author_31430,2010,Active,9,5,0
author_29007,2010,Active,9,5,0
author_28958,2010,Active,9,5,0
author_78974,2015,Active,9,5,0
author_126444,2019,Active,9,5,0
author_63578,2014,Active,9,5,0
author_31837,2010,Active,9,5,0
author_44866,2012,Active,9,5,0
author_72643,2015,Active,9,5,0
author_16313,2008,Active,9,5,0
author_72648,2015,Active,9,5,0
author_8308,2007,Active,9,5,0
author_141102,2020,Active,9,5,0
author_61415,2014,Active,9,5,0
author_99861,2017,Active,9,5,0
author_176375,2023,Active,9,5,0
author_52338,2013,Active,9,5,0
author_200341,2024,Active,9,5,0
author_185621,2023,Active,9,5,0
author_113086,2018,Active,9,5,0
author_193469,2024,Active,9,5,0
author_111286,2018,Active,9,5,0
author_90439,2016,Active,9,5,0
author_97399,2017,Active,9,5,0
author_199724,2024,Active,9,5,0
author_49850,2013,Active,9,5,0
author_103787,2018,Active,9,5,0
author_89368,2016,Active,9,5,0
author_11843,2008,Active,9,5,0
author_92475,2017,Active,9,5,0
author_124831,2019,Active,9,5,0
author_120104,2019,Active,9,5,0
author_36844,2011,Active,9,5,0
author_76478,2015,Active,9,5,0
author_138995,2020,Active,9,5,0
author_100123,2017,Active,9,5,0
author_8305,2007,Active,9,5,0
author_38309,2011,Active,9,5,0
author_59815,2014,Active,9,5,0
author_8306,2007,Active,9,5,0
author_70559,2015,Active,9,5,0
author_200633,2024,Active,9,5,0
author_6401,2007,Active,9,5,0
author_17942,2009,Active,9,5,0
author_25469,2010,Active,9,5,0
author_131994,2020,Active,9,5,0
author_65272,2014,Active,9,5,0
author_33442,2011,Active,9,5,0
author_118586,2019,Active,9,5,0
author_53020,2013,Active,9,5,0
author_185047,2023,Active,9,5,0
author_137693,2021,Active,9,5,0
author_156112,2021,Active,9,5,0
author_147244,2021,Active,9,5,0
author_157107,2021,Active,9,5,0
author_18385,2009,Active,9,5,0
author_64161,2014,Active,9,5,0
author_30042,2010,Active,9,5,0
author_31974,2010,Active,9,5,0
author_185772,2023,Active,9,5,0
author_195039,2024,Active,9,5,0
author_2998,2006,Active,9,5,0
author_994,2006,Active,9,5,0
author_53806,2013,Active,9,5,0
author_4426,2006,Active,9,5,0
author_132585,2021,Active,9,5,0
author_92598,2017,Active,9,5,0
author_75755,2015,Active,9,5,0
author_103111,2018,Active,9,5,0
author_25152,2010,Active,9,5,0
author_166563,2022,Active,9,5,0
author_132589,2021,Active,9,5,0
author_204087,2024,Active,9,5,0
author_14627,2008,Active,9,5,0
author_59298,2014,Active,9,5,0
author_39866,2011,Active,9,5,0
author_80089,2016,Active,9,5,0
author_46689,2012,Active,9,5,0
author_73267,2015,Active,9,5,0
author_140050,2020,Active,9,5,0
author_126884,2019,Active,9,5,0
author_93662,2017,Active,9,5,0
author_144162,2021,Active,9,5,0
author_57094,2013,Active,9,5,0
author_34601,2011,Active,9,5,0
author_43235,2012,Active,9,5,0
author_110365,2018,Active,9,5,0
author_71489,2015,Active,9,5,0
author_101809,2017,Active,9,5,0
author_57088,2013,Active,9,5,0
author_19478,2009,Active,9,5,0
author_89872,2016,Active,9,5,0
author_96003,2017,Active,9,5,0
author_195037,2024,Active,9,5,0
author_14684,2008,Active,9,5,0
author_8303,2007,Active,9,5,0
author_27528,2010,Active,9,5,0
author_161317,2022,Active,9,5,0
author_142241,2020,Active,9,5,0
author_82724,2016,Active,9,5,0
author_45493,2012,Active,9,5,0
author_17888,2008,Active,9,5,0
author_208839,2025,Active,9,5,0
author_147243,2021,Active,9,5,0
author_165667,2022,Active,9,5,0
author_160336,2022,Active,9,5,0
author_14069,2008,Active,9,5,0
author_78090,2015,Active,9,5,0
author_25315,2010,Active,9,5,0
author_84311,2016,Active,9,5,0
author_190476,2024,Active,9,5,0
author_48796,2012,Active,9,5,0
author_113836,2018,Active,9,5,0
author_185619,2023,Active,9,5,0
author_17121,2008,Active,9,5,0
author_207351,2024,Active,9,5,0
author_162876,2022,Active,9,5,0
author_46821,2012,Active,9,5,0
author_27382,2010,Active,9,5,0
author_66635,2014,Active,9,5,0
author_86714,2016,Active,9,5,0
author_48526,2012,Active,9,5,0
author_13206,2008,Active,9,5,0
author_101844,2017,Active,9,5,0
author_31051,2010,Active,9,5,0
author_124974,2019,Active,9,5,0
author_69403,2015,Active,9,5,0
author_106360,2018,Active,9,5,0
author_1978,2006,Active,9,5,0
author_140566,2020,Active,9,5,0
author_79750,2015,Active,8,5,0
author_2186,2006,Active,8,5,0
author_77394,2015,Active,8,5,0
author_69933,2015,Active,8,5,0
author_68529,2014,Active,8,5,0
author_94704,2017,Active,8,5,0
author_19188,2009,Active,8,5,0
author_115027,2019,Active,8,5,0
author_37327,2011,Active,8,5,0
author_185577,2023,Active,8,5,0
author_12662,2008,Active,8,5,0
author_129496,2020,Active,8,5,0
author_82123,2016,Active,8,5,0
author_20606,2009,Active,8,5,0
author_48638,2012,Active,8,5,0
author_72948,2015,Active,8,5,0
author_51036,2013,Active,8,5,0
author_78473,2015,Active,8,5,0
author_37107,2011,Active,8,5,0
author_86689,2016,Active,8,5,0
author_101272,2017,Active,8,5,0
author_125441,2019,Active,8,5,0
author_156110,2021,Active,8,5,0
author_143827,2021,Active,8,5,0
author_14661,2008,Active,8,5,0
author_91848,2017,Active,8,5,0
author_117120,2019,Active,8,5,0
author_53914,2013,Active,8,5,0
author_51102,2013,Active,8,5,0
author_68913,2014,Active,8,5,0
author_155891,2023,Active,8,5,0
author_48118,2012,Active,8,5,0
author_49277,2012,Active,8,5,0
author_137323,2020,Active,8,5,0
author_62540,2014,Active,8,5,0
author_115479,2019,Active,8,5,0
author_73519,2015,Active,8,5,0
author_193413,2024,Active,8,5,0
author_22674,2009,Active,8,5,0
author_177357,2023,Active,8,5,0
author_155318,2021,Active,8,5,0
author_174463,2023,Active,8,5,0
author_106566,2018,Active,8,5,0
author_154062,2021,Active,8,5,0
author_125356,2020,Active,8,5,0
author_136813,2020,Active,8,5,0
author_58642,2013,Active,8,5,0
author_13675,2008,Active,8,5,0
author_84672,2016,Active,8,5,0
author_115008,2019,Active,8,5,0
author_42773,2012,Active,8,5,0
author_154576,2021,Active,8,5,0
author_117574,2019,Active,8,5,0
author_166537,2022,Active,8,5,0
author_48398,2012,Active,8,5,0
author_106221,2018,Active,8,5,0
author_44311,2012,Active,8,5,0
author_100929,2017,Active,8,5,0
author_203688,2024,Active,8,5,0
author_12971,2008,Active,8,5,0
author_51525,2013,Active,8,5,0
author_145672,2021,Active,8,5,0
author_41108,2012,Active,8,5,0
author_174465,2023,Active,8,5,0
author_44493,2012,Active,8,5,0
author_106995,2018,Active,8,5,0
author_20992,2009,Active,8,5,0
author_20917,2009,Active,8,5,0
author_103049,2018,Active,8,5,0
author_125007,2019,Active,8,5,0
author_58658,2013,Active,8,5,0
author_166536,2022,Active,8,5,0
author_149923,2021,Active,8,5,0
author_53474,2013,Active,8,5,0
author_92904,2017,Active,8,5,0
author_24193,2009,Active,8,5,0
author_57586,2013,Active,8,5,0
author_133460,2020,Active,8,5,0
author_49691,2013,Active,8,5,0
author_188047,2024,Active,8,5,0
author_41356,2012,Active,8,5,0
author_13740,2008,Active,8,5,0
author_185576,2023,Active,8,5,0
author_103619,2018,Active,8,5,0
author_85101,2016,Active,8,5,0
author_113405,2018,Active,8,5,0
author_51725,2013,Active,8,5,0
author_90440,2016,Active,8,5,0
author_168734,2022,Active,8,5,0
author_112898,2018,Active,8,5,0
author_67545,2014,Active,8,5,0
author_126673,2019,Active,8,5,0
author_101413,2017,Active,8,5,0
author_113688,2018,Active,8,5,0
author_92514,2017,Active,8,5,0
author_102803,2017,Active,8,5,0
