author_id,first_year,membership,degree_overall,degree_active,degree_backbone
author_18379,2009,Backbone,44,18,6
author_10748,2007,Backbone,24,15,6
author_48456,2012,Backbone,153,80,5
author_78874,2015,Backbone,135,79,5
author_124077,2019,Backbone,82,61,5
author_149255,2021,Backbone,75,58,5
author_73289,2015,Backbone,75,56,5
author_30574,2010,Backbone,82,55,5
author_19350,2009,Backbone,86,53,5
author_3591,2006,Backbone,72,51,5
author_50833,2013,Backbone,135,49,5
author_30625,2010,Backbone,62,47,5
author_45338,2012,Backbone,62,46,5
author_33043,2011,Backbone,70,45,5
author_87664,2016,Backbone,81,44,5
author_24288,2009,Backbone,70,42,5
author_30645,2010,Backbone,77,41,5
author_32072,2010,Backbone,57,41,5
author_129627,2020,Backbone,54,41,5
author_7713,2007,Backbone,52,41,5
author_21428,2009,Backbone,59,39,5
author_45849,2012,Backbone,59,38,5
author_99743,2017,Backbone,57,38,5
author_48257,2012,Backbone,50,37,5
author_76764,2015,Backbone,45,37,5
author_120043,2019,Backbone,47,35,5
author_35451,2011,Backbone,45,35,5
author_38685,2011,Backbone,79,34,5
author_47416,2012,Backbone,65,34,5
author_48934,2012,Backbone,48,34,5
author_22382,2009,Backbone,82,33,5
author_17847,2008,Backbone,50,32,5
author_20501,2009,Backbone,49,32,5
author_94141,2017,Backbone,48,32,5
author_46337,2012,Backbone,46,32,5
author_29955,2010,Backbone,47,31,5
author_16132,2008,Backbone,51,30,5
author_81550,2016,Backbone,44,30,5
author_6990,2007,Backbone,40,30,5
author_106127,2018,Backbone,59,29,5
author_44945,2012,Backbone,55,27,5
author_149885,2021,Backbone,50,25,5
author_19444,2009,Backbone,47,25,5
author_15313,2008,Backbone,39,25,5
author_95918,2017,Backbone,39,25,5
author_111058,2018,Backbone,49,23,5
author_19307,2009,Backbone,42,23,5
author_107622,2018,Backbone,35,23,5
author_5497,2006,Backbone,32,23,5
author_37023,2011,Backbone,26,23,5
author_147940,2021,Backbone,29,20,5
author_77458,2015,Backbone,27,18,5
author_35593,2011,Backbone,21,18,5
author_51895,2013,Backbone,18,17,5
author_36356,2011,Backbone,42,16,5
author_44176,2012,Backbone,17,12,5
author_96555,2017,Backbone,12,10,5
author_7352,2007,Backbone,13,9,5
author_109904,2018,Backbone,124,72,4
author_37545,2011,Backbone,123,69,4
author_95088,2017,Backbone,84,66,4
author_15775,2008,Backbone,89,60,4
author_31545,2010,Backbone,108,53,4
author_15693,2008,Backbone,75,49,4
author_34344,2011,Backbone,101,48,4
author_79770,2015,Backbone,67,48,4
author_44212,2012,Backbone,73,47,4
author_19118,2009,Backbone,59,44,4
author_22523,2009,Backbone,88,42,4
author_107405,2018,Backbone,60,42,4
author_15188,2008,Backbone,51,42,4
author_45131,2012,Backbone,88,41,4
author_37437,2011,Backbone,72,41,4
author_38707,2011,Backbone,61,40,4
author_14364,2008,Backbone,54,40,4
author_26561,2010,Backbone,92,39,4
author_55231,2013,Backbone,84,39,4
author_56415,2013,Backbone,80,39,4
author_75748,2015,Backbone,62,39,4
author_7688,2007,Backbone,46,39,4
author_128726,2020,Backbone,53,38,4
author_31425,2010,Backbone,58,37,4
author_631,2006,Backbone,43,37,4
author_147655,2021,Backbone,64,36,4
author_62255,2014,Backbone,58,36,4
author_3891,2006,Backbone,55,35,4
author_20503,2009,Backbone,50,35,4
author_90975,2016,Backbone,50,35,4
author_4329,2006,Backbone,48,35,4
author_112398,2018,Backbone,68,34,4
author_14764,2008,Backbone,59,33,4
author_85641,2016,Backbone,49,33,4
author_158861,2021,Backbone,40,33,4
author_105762,2018,Backbone,45,32,4
author_17113,2008,Backbone,35,32,4
author_34343,2011,Backbone,58,31,4
author_14754,2008,Backbone,54,31,4
author_125205,2019,Backbone,48,31,4
author_55229,2013,Backbone,68,29,4
author_27693,2010,Backbone,47,29,4
author_96253,2017,Backbone,43,29,4
author_131866,2020,Backbone,41,29,4
author_11472,2007,Backbone,44,28,4
author_45427,2012,Backbone,40,28,4
author_18303,2009,Backbone,36,28,4
author_125164,2019,Backbone,47,27,4
author_99641,2017,Backbone,46,27,4
author_129386,2020,Backbone,50,26,4
author_4030,2006,Backbone,43,26,4
author_45366,2012,Backbone,41,26,4
author_74346,2015,Backbone,60,25,4
author_4830,2006,Backbone,48,25,4
author_162845,2022,Backbone,37,25,4
author_101806,2017,Backbone,38,24,4
author_30903,2010,Backbone,35,24,4
author_36419,2011,Backbone,33,24,4
author_30647,2010,Backbone,61,23,4
author_58057,2013,Backbone,41,23,4
author_39657,2011,Backbone,38,23,4
author_95920,2017,Backbone,36,23,4
author_5472,2006,Backbone,29,23,4
author_68501,2014,Backbone,29,23,4
author_144214,2021,Backbone,27,23,4
author_116848,2019,Backbone,69,22,4
author_65587,2014,Backbone,55,22,4
author_148712,2021,Backbone,27,22,4
author_16949,2008,Backbone,51,21,4
author_75443,2015,Backbone,31,21,4
author_13743,2008,Backbone,33,20,4
author_146883,2021,Backbone,29,20,4
author_119788,2019,Backbone,24,20,4
author_77114,2015,Backbone,34,19,4
author_4342,2006,Backbone,30,19,4
author_101324,2017,Backbone,22,19,4
author_15191,2008,Backbone,40,18,4
author_56148,2013,Backbone,25,18,4
author_51302,2013,Backbone,24,18,4
author_31677,2010,Backbone,23,18,4
author_48909,2012,Backbone,22,18,4
author_9828,2007,Backbone,19,18,4
author_20509,2009,Backbone,22,17,4
author_3746,2006,Backbone,29,16,4
author_37535,2011,Backbone,26,16,4
author_62592,2014,Backbone,25,16,4
author_46339,2012,Backbone,23,16,4
author_91079,2016,Backbone,20,16,4
author_48894,2012,Backbone,19,16,4
author_51460,2013,Backbone,22,15,4
author_12817,2008,Backbone,23,14,4
author_34561,2011,Backbone,18,13,4
author_17604,2008,Backbone,24,12,4
author_13843,2008,Backbone,20,12,4
author_118877,2019,Backbone,22,11,4
author_29385,2010,Backbone,15,9,4
author_5528,2006,Backbone,10,9,4
author_101321,2017,Backbone,8,8,4
author_62534,2014,Backbone,10,6,4
author_6873,2007,Backbone,8,6,4
author_156770,2021,Backbone,9,4,4
author_72429,2015,Backbone,92,59,3
author_46231,2012,Backbone,110,58,3
author_173175,2022,Backbone,75,58,3
author_83816,2016,Backbone,82,57,3
author_83814,2016,Backbone,82,57,3
author_83817,2016,Backbone,82,57,3
author_22376,2009,Backbone,83,52,3
author_29701,2010,Backbone,94,50,3
author_148088,2021,Backbone,81,45,3
author_37432,2011,Backbone,55,41,3
author_10935,2007,Backbone,47,40,3
author_22371,2009,Backbone,73,39,3
author_83822,2016,Backbone,62,39,3
author_171336,2022,Backbone,67,38,3
author_109898,2018,Backbone,56,38,3
author_93214,2017,Backbone,53,38,3
author_49304,2012,Backbone,48,38,3
author_105306,2018,Backbone,49,37,3
author_136953,2020,Backbone,71,36,3
author_128752,2020,Backbone,55,36,3
author_51167,2013,Backbone,44,35,3
author_20563,2009,Backbone,60,34,3
author_170386,2022,Backbone,45,34,3
author_15728,2008,Backbone,70,32,3
author_90267,2016,Backbone,57,32,3
author_95934,2017,Backbone,56,32,3
author_26585,2010,Backbone,91,31,3
author_111056,2018,Backbone,43,31,3
author_38706,2011,Backbone,61,30,3
author_54639,2013,Backbone,39,30,3
author_53750,2013,Backbone,33,30,3
author_94101,2017,Backbone,62,29,3
author_18813,2009,Backbone,39,29,3
author_143630,2021,Backbone,58,28,3
author_55508,2013,Backbone,43,28,3
author_15182,2008,Backbone,35,28,3
author_135827,2020,Backbone,58,27,3
author_50007,2013,Backbone,44,27,3
author_87084,2016,Backbone,43,27,3
author_50738,2013,Backbone,53,26,3
author_36893,2011,Backbone,39,26,3
author_3240,2006,Backbone,39,26,3
author_662,2006,Backbone,37,26,3
author_53748,2013,Backbone,37,26,3
author_90265,2016,Backbone,45,25,3
author_45388,2012,Backbone,38,25,3
author_107636,2018,Backbone,36,25,3
author_3159,2006,Backbone,33,25,3
author_94847,2017,Backbone,29,25,3
author_85928,2016,Backbone,28,25,3
author_58714,2013,Backbone,37,24,3
author_80450,2016,Backbone,34,24,3
author_20599,2009,Backbone,68,23,3
author_4760,2006,Backbone,34,23,3
author_54444,2013,Backbone,33,23,3
author_67195,2014,Backbone,28,23,3
author_20564,2009,Backbone,42,22,3
author_46285,2012,Backbone,38,22,3
author_27790,2010,Backbone,29,22,3
author_4685,2006,Backbone,29,22,3
author_66148,2014,Backbone,27,22,3
author_5474,2006,Backbone,25,22,3
author_145470,2021,Backbone,51,21,3
author_113263,2018,Backbone,48,21,3
author_27688,2010,Backbone,33,21,3
author_34784,2011,Backbone,29,21,3
author_136978,2020,Backbone,42,20,3
author_39904,2011,Backbone,40,20,3
author_37953,2011,Backbone,34,20,3
author_12793,2008,Backbone,34,20,3
author_5377,2006,Backbone,27,20,3
author_39724,2011,Backbone,26,20,3
author_58075,2013,Backbone,44,19,3
author_26812,2010,Backbone,31,19,3
author_55478,2013,Backbone,27,19,3
author_24623,2009,Backbone,27,19,3
author_40451,2011,Backbone,27,19,3
author_125210,2019,Backbone,27,19,3
author_29120,2010,Backbone,24,19,3
author_58805,2013,Backbone,24,19,3
author_55150,2013,Backbone,22,19,3
author_26500,2010,Backbone,46,18,3
author_107118,2018,Backbone,44,18,3
author_36374,2011,Backbone,31,18,3
author_27692,2010,Backbone,26,18,3
author_488,2006,Backbone,22,18,3
author_52460,2013,Backbone,20,18,3
author_29753,2010,Backbone,40,17,3
author_52827,2013,Backbone,38,17,3
author_113670,2018,Backbone,32,17,3
