k,k_over_n,alpha_weighted,alpha_unweighted
1,5.841462702260646e-05,0.0,0.0
2,0.00011682925404521292,0.0,0.0
3,0.00017524388106781937,0.0,0.0
4,0.00023365850809042583,0.0,0.0
5,0.0002920731351130323,0.0,0.0
6,0.00035048776213563875,0.0,0.0
7,0.00040890238915824523,0.0,0.0
8,0.00046731701618085166,0.0,0.0
9,0.0005257316432034581,0.0,0.0
10,0.0005841462702260646,0.0,0.0
11,0.0006425608972486711,0.0,0.0
12,0.0007009755242712775,0.0,0.0
13,0.000759390151293884,0.0,0.0
14,0.0008178047783164905,0.0,0.0
15,0.0008762194053390969,0.0,0.0
16,0.0009346340323617033,0.0,0.0
17,0.0009930486593843098,0.0,0.0
18,0.0010514632864069163,0.0,0.0
19,0.0011098779134295228,0.0,0.0
20,0.0011682925404521293,0.0,0.0
21,0.0012267071674747357,0.0,0.0
22,0.0012851217944973422,0.0,0.0
23,0.0013435364215199485,0.0,0.0
24,0.001401951048542555,0.0,0.0
25,0.0014603656755651615,0.0,0.0
26,0.001518780302587768,0.0,0.0
27,0.0015771949296103744,0.0,0.0
28,0.001635609556632981,0.0,0.0
29,0.0016940241836555874,0.0,0.0
30,0.0017524388106781939,0.0,0.0
31,0.0018108534377008004,0.0,0.0
32,0.0018692680647234066,0.0,0.0
33,0.0019276826917460131,0.0,0.0
34,0.0019860973187686196,0.0,0.0
35,0.0020445119457912263,0.0,0.0
36,0.0021029265728138326,0.0,0.0
37,0.002161341199836439,0.0,0.0
38,0.0022197558268590455,0.0,0.0
39,0.002278170453881652,0.0,0.0
40,0.0023365850809042585,0.0,0.0
41,0.002394999707926865,0.0,0.0
42,0.0024534143349494715,0.0,0.0
43,0.0025118289619720778,0.0,0.0
44,0.0025702435889946845,0.0,0.0
45,0.0026286582160172907,0.0,0.0
46,0.002687072843039897,0.0,0.0
47,0.0027454874700625037,0.0,0.0
48,0.00280390209708511,0.0,0.0
49,0.0028623167241077167,0.0,0.0
50,0.002920731351130323,0.0,0.0
51,0.0029791459781529296,0.0,0.0
52,0.003037560605175536,0.0,0.0
53,0.0030959752321981426,0.0,0.0
54,0.003154389859220749,0.0,0.0
55,0.003212804486243355,0.0,0.0
56,0.003271219113265962,0.0,0.0
57,0.003329633740288568,0.0,0.0
58,0.003388048367311175,0.0,0.0
59,0.003446462994333781,0.0,0.0
60,0.0035048776213563878,0.0,0.0
61,0.003563292248378994,0.0,0.0
62,0.0036217068754016007,0.0,0.0
63,0.003680121502424207,0.0,0.0
64,0.0037385361294468133,0.0,0.0
65,0.00379695075646942,0.0,0.0
66,0.0038553653834920262,0.0,0.0
67,0.003913780010514633,0.0,0.0
68,0.003972194637537239,0.0,0.0
69,0.0040306092645598455,0.0,0.0
70,0.004089023891582453,0.0,0.0
71,0.004147438518605059,0.0,0.0
72,0.004205853145627665,0.0,0.0
73,0.004264267772650271,0.0,0.0
74,0.004322682399672878,0.0,0.0
75,0.004381097026695485,0.0,0.0
76,0.004439511653718091,0.0,0.0
77,0.004497926280740697,0.0,0.0
78,0.004556340907763304,0.0,0.0
79,0.004614755534785911,0.0,0.0
80,0.004673170161808517,0.0,0.0
81,0.004731584788831123,0.0,0.0
82,0.00478999941585373,0.0,0.0
83,0.004848414042876336,0.0,0.0
84,0.004906828669898943,0.0,0.0
85,0.004965243296921549,0.0,0.0
86,0.0050236579239441555,0.0,0.0
87,0.005082072550966762,0.0,0.0
88,0.005140487177989369,0.0,0.0
89,0.005198901805011975,0.0,0.0
90,0.0052573164320345814,0.0,0.0
91,0.005315731059057188,0.0,0.0
92,0.005374145686079794,0.0,0.0
93,0.005432560313102401,0.0,0.0
94,0.005490974940125007,0.0,0.0
95,0.005549389567147614,0.0,0.0
96,0.00560780419417022,0.0,0.0
97,0.005666218821192827,0.0,0.0
98,0.005724633448215433,0.0,0.0
99,0.00578304807523804,0.0,0.0
100,0.005841462702260646,0.0,0.0
