Year,CommunityID,Size,Avg_Degree,Avg_Weighted_Degree,Avg_Citations_Per_Paper,Total_Citations,Paper_Count
2012,5,83,4.0964,2.3017,49.7941,8465,170
2012,6,135,3.9852,2.5749,74.0318,16287,220
2012,7,21,4.9524,3.051,76.9189,2846,37
2012,8,126,7.0873,1.999,66.7154,8673,130
2012,9,32,4.9688,4.3969,25.0667,2256,90
2012,10,20,3.15,2.2917,18.9189,700,37
2012,11,25,2.84,2.28,106.0513,4136,39
2012,12,62,6.2258,5.1299,156.8121,23365,149
2012,13,17,3.4706,3.2451,80.32,4016,50
2012,14,85,4.2,2.623,102.4177,16182,158
2012,15,12,2.25,1.4167,116.1176,1974,17
2012,16,83,4.4578,2.9621,163.4792,23541,144
2012,17,49,6.6735,2.0947,76.6557,4676,61
2012,18,69,3.7391,2.6204,132.6513,20163,152
2012,19,69,3.2319,2.4251,131.1719,16790,128
2012,20,71,5.2958,4.618,29.2371,5672,194
2012,21,74,3.9459,4.214,63.1055,14956,237
2012,22,35,2.9714,2.231,86.8235,5904,68
2012,23,22,3.3182,1.5606,471.32,11783,25
2012,24,45,3.5556,2.3111,103.7283,9543,92
2012,25,35,4.8286,1.4241,49.6154,1935,39
2012,26,37,3.0811,2.4137,115.2571,8068,70
2012,27,79,4.3418,4.612,41.4163,10644,257
2012,28,54,4.3333,4.1243,72.7368,11056,152
2012,29,19,3.1053,2.4701,80.1395,3446,43
2012,30,17,6.1176,2.1171,57.4,1435,25
2012,31,57,3.8596,2.2868,118.2772,11946,101
2012,32,20,4.1,1.3707,107.3043,2468,23
2012,33,25,2.92,1.92,57.9024,2374,41
2012,34,20,2.75,2.425,81.3256,3497,43
2012,35,9,2.5556,3.1111,24.1429,507,21
2012,36,34,2.8824,1.7157,62.2188,3982,64
2012,37,10,2.9,3.1167,82.8276,2402,29
2012,38,10,2.5,2.7333,47.7083,1145,24
2013,1,136,4.5956,2.9158,120.6615,31010,257
2013,2,62,6.1774,2.0083,55.1954,4802,87
2013,3,297,4.4007,3.8517,42.1635,33520,795
2013,4,56,4.6607,2.949,178.3162,20863,117
2013,5,51,3.8824,2.6844,150.7979,14175,94
2013,6,28,5.6429,2.2167,54.0857,1893,35
2013,7,84,3.7143,2.7314,112.8696,20768,184
2013,8,113,4.1062,2.5944,42.6614,10836,254
2013,9,182,3.8516,2.5516,76.4332,23465,307
2013,10,33,5.9091,1.6681,99.6111,3586,36
2013,11,88,3.1136,2.5037,66.5538,12379,186
2013,12,34,4.9118,4.7618,27.0769,2816,104
2013,13,364,4.7115,4.4063,65.5416,65345,997
2013,14,44,3.5,2.6212,82.0923,5336,65
2013,15,28,3.5357,3.244,88.6933,6652,75
2013,16,128,8.5391,2.1744,57.1778,7719,135
2013,17,81,5.037,3.1061,105.2994,17585,167
2013,18,56,8.7143,2.4819,75.2692,5871,78
2013,19,61,3.2623,2.6311,100.3571,12645,126
