year,pipeline,node_count,edge_count,avg_path_len,deg_centralization,str_centralization,clo_centralization,bet_centralization,struct_entropy,struct_entropy_norm
2014,S5-S3-S2,812,900,6.329006891,0.023217792,0.959752873,0.103729494,0.041350806,6.324646419,0.944052399
2015,S5-S3-S2,887,1014,7.178162112,0.026825318,0.964446032,0.113273749,0.055539522,6.401216053,0.943045773
2016,S5-S3-S2,980,1133,7.185735992,0.024245349,0.970691713,0.111322925,0.053703681,6.499290729,0.943633088
2017,S5-S3-S2,1065,1248,7.199544995,0.02321685,0.973432451,0.10778078,0.051621453,6.581588502,0.944179371
2018,S5-S3-S2,1165,1389,7.106153298,0.024625997,0.975662562,0.105898903,0.049431608,6.673362054,0.94517581
2019,S5-S3-S2,1256,1526,7.082659755,0.025993633,0.977024619,0.104650956,0.049655311,6.746097799,0.945406618
2020,S5-S3-S2,1384,1739,8.996928445,0.024972453,0.977334022,0.126150979,0.167328841,6.831828605,0.944574638
2021,S5-S3-S2,1492,1946,9.406810422,0.023096971,0.977814609,0.124589456,0.206324541,6.90433059,0.94478337
2022,S5-S3-S2,1546,2038,9.386691705,0.02227057,0.977870001,0.11377082,0.211787053,6.935491275,0.944452495
2023,S5-S3-S2,1592,2117,16.07322886,0.021611344,0.977748292,0.055260012,0.508636825,6.964183197,0.944588149
2024,S5-S3-S2,1627,2170,13.01220259,0.022372221,0.977151084,0.084086263,0.528633594,6.983724693,0.944452892
2025,S5-S3-S2,1631,2185,13.03223511,0.022309972,0.97662358,0.083888683,0.540953134,6.989179031,0.944876673
