Year,Size
2019,27
2019,15
2019,15
2019,103
2019,55
2019,91
2019,22
2019,40
2019,25
2019,25
2019,36
2019,44
2019,17
2019,25
2019,14
2019,23
2019,35
2019,17
2019,20
2019,22
2019,8
2020,217
2020,179
2020,139
2020,62
2020,116
2020,334
2020,85
2020,79
2020,47
2020,84
2020,212
2020,54
2020,60
2020,44
2020,103
2020,121
2020,135
2020,527
2020,41
2020,145
2020,77
2020,73
2020,68
2020,33
2020,18
2020,158
2020,69
2020,93
2020,94
2020,125
2020,59
2020,59
2020,177
2020,90
2020,66
2020,295
2020,189
2020,20
2020,179
2020,223
2020,258
2020,96
2020,52
2020,113
2020,114
2020,242
2020,51
2020,43
2020,530
2020,143
2020,109
2020,59
2020,52
2020,118
2020,23
2020,48
2020,23
2020,24
2020,104
2020,27
2020,65
2020,81
2020,274
2020,76
2020,33
2020,133
2020,63
2020,19
2020,50
2020,46
2020,46
2020,31
2020,56
2020,33
2020,38
2020,104
2020,51
2020,37
2020,172
2020,36
2020,24
2020,14
2020,36
2020,30
2020,23
2020,41
2020,23
2020,18
2020,48
2020,52
2020,17
2020,41
2020,24
2020,27
2020,81
2020,23
2020,39
2020,17
2020,11
2020,36
2020,41
2020,17
2020,27
2020,23
2020,35
2020,31
2020,20
2020,24
2020,22
2020,12
2021,84
2021,218
2021,201
2021,81
2021,87
2021,72
2021,90
2021,120
2021,207
2021,90
2021,308
2021,67
2021,173
2021,54
2021,106
2021,79
2021,349
2021,69
2021,149
2021,159
2021,230
2021,48
2021,171
2021,36
2021,57
2021,100
2021,83
2021,121
2021,71
2021,47
2021,134
2021,131
2021,67
2021,39
2021,138
2021,79
2021,89
2021,719
2021,245
2021,277
2021,23
2021,59
2021,167
2021,137
2021,148
2021,155
2021,202
2021,328
2021,90
2021,394
2021,697
2021,96
2021,22
2021,58
2021,80
2021,171
2021,57
2021,112
2021,24
2021,119
2021,74
2021,78
2021,251
2021,33
2021,64
2021,68
2021,20
2021,45
2021,100
2021,36
2021,45
2021,18
2021,61
2021,28
2021,55
2021,55
2021,65
2021,53
2021,34
2021,30
2021,136
2021,16
2021,41
2021,46
2021,31
2021,34
2021,28
2021,10
2021,102
2021,52
2021,14
2021,43
2021,105
2021,23
2021,31
2021,27
2021,22
2021,29
2021,43
2021,30
2021,36
2021,17
2021,24
2021,25
2021,35
2021,33
2021,27
2021,15
2021,9
2021,18
2022,50
2022,245
2022,178
2022,62
2022,100
2022,523
2022,91
2022,69
2022,109
2022,93
2022,254
2022,47
2022,60
2022,135
2022,69
2022,105
2022,98
2022,132
2022,166
2022,274
2022,40
2022,193
2022,47
2022,112
2022,70
2022,124
2022,39
2022,197
2022,88
2022,386
2022,52
2022,133
2022,73
2022,68
2022,39
2022,56
2022,193
2022,128
2022,590
2022,267
2022,22
2022,76
2022,54
2022,325
2022,72
2022,169
2022,62
2022,217
2022,56
2022,116
2022,383
2022,210
2022,82
2022,432
2022,1063
2022,109
2022,22
2022,59
2022,113
2022,41
2022,107
2022,29
2022,60
2022,120
2022,81
2022,329
2022,39
2022,34
2022,76
2022,68
2022,20
2022,75
2022,208
2022,91
