step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1,0.9920539762200806,1.0,1.0
1,343,0.020036217068754015,0.941819031485484,0.8870305611965358,304,0.6726710327817556,0.7978223227635048,0.8183617499380699
2,686,0.04007243413750803,0.8725392838366727,0.7613422331317459,668,0.4911438424629828,0.6700239924250331,0.7144055776100879
3,1029,0.06010865120626205,0.7957240493019452,0.6332193480301095,994,0.3389418719668587,0.5746927699556492,0.6508863239404917
4,1372,0.08014486827501606,0.6925054033529996,0.47965242593953145,1386,0.2047160134707314,0.48221693528206816,0.6002032691565304
5,1715,0.10018108534377008,0.5419709095157428,0.29400037418393987,1853,0.09076769126203306,0.36039281937400897,0.5605356044821069
6,2058,0.1202173024125241,0.20299082890355746,0.04637534441100977,2428,0.01715295851661876,0.14028526842468605,0.526481890623212
7,2401,0.14025351948127812,0.02015304632279923,0.0020163863846321935,2960,0.004197420326596974,0.01040834906212001,0.4971870516352699
8,2744,0.16028973655003212,0.008995852561481395,0.0008040525323239035,3460,0.002550757677408272,0.008160316679891004,0.467185203162272
9,3087,0.18032595361878614,0.004965243296921549,0.0005028339830024014,3869,0.0022403247491780253,0.0044517391364487435,0.44605130958653305
10,3430,0.20036217068754017,0.003329633740288568,0.0003301085033098994,4251,0.0017889230414010273,0.002737814853423636,0.4206605838911237
11,3773,0.22039838775629417,0.0029791459781529296,0.00024484457815586013,4590,0.0015110879170117443,0.0006875187833778266,0.39949619679824355
12,4116,0.2404346048250482,0.0029791459781529296,0.0001932412372377707,4897,0.0015529979887022134,0.0006875187833778266,0.3817920379854914
13,4459,0.2604708218938022,0.0029791459781529296,0.00015772427041622097,5144,0.001403974487012092,0.0006875187833778266,0.36279300497578754
14,4802,0.28050703896255624,0.0029791459781529296,0.00012983758201636468,5422,0.0012505084283604617,0.0006875187833778266,0.3492076715401804
15,5145,0.3005432560313102,0.0029791459781529296,0.00011050936333100173,5578,0.0011015875651586272,0.0006875187833778266,0.3330187575998018
16,5488,0.32057947310006424,0.0029791459781529296,9.642269547556771e-05,5743,0.0011791294870378832,0.0006875187833778266,0.31803638096651243
17,5831,0.34061569016881826,0.0029791459781529296,8.49704529070511e-05,5875,0.0012319336561037598,0.0006875187833778266,0.30187230195246534
18,6174,0.3606519072375723,0.00280390209708511,7.068586190829947e-05,5982,0.0010207599784168874,0.000613957102851804,0.2844378693016419
19,6517,0.3806881243063263,0.00280390209708511,6.182027007486498e-05,6064,0.00091528255050289,0.000613957102851804,0.2715120760615202
20,6860,0.40072434137508034,0.00280390209708511,5.453806338797152e-05,6129,0.0008773187064152297,0.000613957102851804,0.25756553591256093
21,7203,0.4207605584438343,0.00280390209708511,4.983568250018371e-05,6138,0.0009832184028650782,0.000613957102851804,0.2469559925105407
22,7546,0.44079677551258833,0.00280390209708511,4.569977129844291e-05,6115,0.001003560416260924,0.000613957102851804,0.23692928396191895
23,7889,0.46083299258134236,0.00280390209708511,4.18163827278315e-05,6054,0.0010827768860632314,0.000613957102851804,0.22476174189029627
24,8232,0.4808692096500964,0.00280390209708511,3.893625974576117e-05,5976,0.0011016580426797546,0.000613957102851804,0.21401073371803367
25,8575,0.5009054267188504,0.00280390209708511,3.671133061743196e-05,5854,0.001102193619474734,0.000613957102851804,0.20398433953556802
26,8918,0.5209416437876044,0.00280390209708511,3.493684726354977e-05,5710,0.0012379652104725597,0.000613957102851804,0.1938054777673967
27,9261,0.5409778608563585,0.00280390209708511,3.168817773875006e-05,5615,0.0009631758659419061,0.000613957102851804,0.18477216627203236
28,9604,0.5610140779251125,0.00280390209708511,2.987956970498552e-05,5478,0.000888815020839577,0.000613957102851804,0.17396803021938986
29,9947,0.5810502949938665,0.00280390209708511,2.800271231145628e-05,5322,0.001287201874895904,0.000613957102851804,0.16402305687135257
30,10290,0.6010865120626204,0.00280390209708511,2.5607159783715322e-05,5182,0.0008687711649720693,0.000613957102851804,0.15551033573048006
31,10633,0.6211227291313745,0.0027454874700625037,2.353237924686845e-05,4972,0.0010549649464870919,0.0006013824566080395,0.1479033034853147
32,10976,0.6411589462001285,0.0026286582160172907,2.1471248581974522e-05,4756,0.001025476333447535,0.0005762331641205104,0.13984044031381287
33,11319,0.6611951632688825,0.0023365850809042585,1.8666199895645362e-05,4523,0.0008637553112504631,0.0005133599329016877,0.1324201415653674
34,11662,0.6812313803376365,0.002278170453881652,1.676204275821024e-05,4312,0.0011419728986973984,0.0005007852866579231,0.12402939449305943
35,12005,0.7012675974063906,0.0022197558268590455,1.489883523663394e-05,4087,0.0010884927418000818,0.00048821064041415854,0.11584235668990042
36,12348,0.7213038144751446,0.0021029265728138326,1.3274500474234089e-05,3850,0.0011354603937928636,0.0004630613479266295,0.10739439497718331
37,12691,0.7413400315438986,0.0019860973187686196,1.1677465455740116e-05,3616,0.0010609234533836386,0.0004366545908147239,0.10060408600555044
38,13034,0.7613762486126526,0.0018692680647234066,9.800608062210874e-06,3387,0.0013527768085158582,0.0004115052983271948,0.09313254557366164
39,13377,0.7814124656814067,0.0016940241836555874,8.176273299811023e-06,3147,0.0013207820222399579,0.0003737813595959012,0.08532872011478138
40,13720,0.8014486827501607,0.001518780302587768,6.66796244901116e-06,2890,0.0011744686517996257,0.00033605742086460755,0.07776569913146919
41,14063,0.8214848998189147,0.0012267071674747357,4.975378326846607e-06,2642,0.0009953006260001878,0.00027192672502140833,0.06995527198331093
42,14406,0.8415211168876686,0.0010514632864069163,3.7878394669408327e-06,2379,0.0010661231939523286,0.0002342027862901147,0.06183173614368294
43,14749,0.8615573339564226,0.0008178047783164905,2.4911016314115384e-06,2128,0.0007219763273500202,0.00018264673669068004,0.05402853941711485
44,15092,0.8815935510251767,0.0006425608972486711,1.8359077776704215e-06,1835,0.001011707523791198,0.0001449227979593864,0.04504929890059868
45,15435,0.9016297680939307,0.0005257316432034581,1.2626131556469442e-06,1548,0.0008146193676669211,0.00011977350547185732,0.03704553656644254
46,15778,0.9216659851626847,0.00035048776213563875,7.029684055764068e-07,1262,0.0007192353487558993,8.079210211618722e-05,0.029183553368684854
47,16121,0.9417022022314387,0.00023365850809042583,3.9584628663525816e-07,947,0.0006943724657631791,0.00011317181619388093,0.020422168598341908
48,16464,0.9617384193001928,0.00023365850809042583,1.5697352745880928e-07,635,0.0007056976028194593,0.00011317181619388093,0.013867319877623543
49,16807,0.9817746363689468,0.00011682925404521292,1.3649871952939937e-08,310,0.00027979019186146376,3.143661560941137e-06,0.006431617187529472
50,17119,1.0,0.0,0.0,0,0.0,0.0,0.0
