removed_frac,lcc_ratio,num_components,eff_ratio,cap_in_lcc_ratio
0.0,1.0,1,1.0,1.0
0.020036217068754,0.9539692739061861,205,0.800166923009118,0.9086679091122274
0.040072434137508,0.9072959869151236,411,0.6658500591534877,0.8395023635264061
0.060108651206262,0.860330626788948,589,0.5625825348687953,0.7770139343149476
0.080144868275016,0.8249313628132484,739,0.5207280681979676,0.7337546128876986
0.10018108534377,0.7885390501781646,844,0.47380425106392315,0.695098922528171
0.1202173024125241,0.7520883229160582,938,0.4318901907745077,0.6554435160386557
0.1402535194812781,0.7060575968222443,1072,0.368508630528017,0.6080989348703455
0.1602897365500321,0.6578071149015714,1206,0.3201425106848485,0.5618157807042444
0.1803259536187861,0.6232256557041883,1262,0.29288499748740754,0.5283438036113203
0.2003621706875401,0.5797067585723465,1356,0.25819610385547764,0.4845167421596337
0.2203983877562941,0.5425550557859689,1452,0.21789370924695975,0.44869975192229367
0.2404346048250482,0.5050528652374554,1511,0.18623948001003582,0.4156597509349197
0.2604708218938022,0.4604825048192067,1578,0.15854453949735414,0.37853449020648455
0.2805070389625562,0.424966411589462,1627,0.14462020440367004,0.34949335373906176
0.3005432560313102,0.3896839768678077,1682,0.14264699794947258,0.32172346123940115
0.3205794731000642,0.3500788597464805,1718,0.11512160036098534,0.28897967243869027
0.3406156901688182,0.3345405689584672,1748,0.10821776237914701,0.2757488614344075
0.3606519072375723,0.31941118055961215,1753,0.08697262351435318,0.261098700369031
0.3806881243063263,0.2876336234593142,1785,0.08986880805693116,0.23273638349604434
0.4007243413750803,0.26216484607745777,1772,0.07564001826360826,0.20998975599521125
0.4207605584438343,0.18815351363981542,1793,0.05146155378175528,0.152598644829246
0.4407967755125883,0.15865412699339915,1798,0.04543477680058581,0.12614936499512483
0.4608329925813423,0.15403937145861324,1778,0.04284029769295809,0.12136060131073892
0.4808692096500964,0.0867457211285706,1727,0.03389699382190907,0.06756106290806314
0.5009054267188504,0.08470120918277937,1699,0.03163639154460367,0.06617873937030226
0.5209416437876044,0.07915181961563175,1640,0.03404471503174702,0.06066178739370302
0.5409778608563585,0.07553011274023015,1612,0.034160591071975575,0.057650296829295386
0.5610140779251125,0.04667328699106256,1599,0.020538430368966076,0.03250928748626933
0.5810502949938665,0.046089140720836495,1548,0.021532537022851184,0.032200733125161994
0.6010865120626204,0.04369414101290963,1457,0.022522324881990692,0.03060859262184812
0.6211227291313745,0.0370932881593551,1409,0.021090811740640664,0.02588153980968367
0.6411589462001285,0.03294584964075004,1351,0.01712723266996024,0.024128951038593978
0.6611951632688825,0.030667679186868392,1282,0.021793790192356645,0.02231465139528282
0.6812313803376365,0.022197558268590455,1223,0.018454132414786804,0.015390691532034114
0.7012675974063906,0.02196389976050003,1150,0.016192600058022654,0.015230243264258297
0.7213038144751446,0.021496582744319176,1085,0.017940535606108227,0.01476124063537514
0.7413400315438986,0.01980255856066359,1038,0.016421423534551168,0.013724497982054478
0.7613762486126526,0.015888778550148957,1007,0.015999064195906774,0.010750033940979722
0.7814124656814067,0.009229511069571822,963,0.014583281191446796,0.006442615059921257
0.8014486827501607,0.00876219405339097,866,0.016279313466240175,0.006356219838811202
0.8214848998189147,0.00876219405339097,782,0.0161637487529217,0.006356219838811202
0.8415211168876686,0.00823646241018751,695,0.01885601444602686,0.005998296779926688
0.8615573339564226,0.007944389275074478,624,0.021011239542097434,0.005751453291040816
0.8815935510251767,0.007944389275074478,551,0.024292570149352346,0.005751453291040816
0.9016297680939308,0.007944389275074478,454,0.032263386326337046,0.005751453291040816
0.9216659851626848,0.007885974648051873,350,0.041494194365453124,0.005726768942152229
0.9417022022314387,0.007535486885916234,263,0.06564637765913668,0.0054675832788220625
0.9617384193001928,0.007301828377825808,154,0.11883926319404556,0.00535650370882342
0.9817746363689468,0.006892925988667562,53,0.3437760003647703,0.00514668674327043
1.0,0.0,0,0.0,0.0
