removed_frac,lcc_ratio,num_components,eff_ratio,cap_in_lcc_ratio
0.0,1.0,1,1.0,1.0
0.020036217068754,0.9488287867281967,280,0.787148419788388,0.880108117448132
0.040072434137508,0.9022723289911794,490,0.6803322528593423,0.809486195277884
0.060108651206262,0.8552485542379812,678,0.5923799353109764,0.7482072991619664
0.080144868275016,0.8158186809977218,808,0.5272963037526069,0.7018871184725325
0.10018108534377,0.7703136865471114,943,0.48455130395425,0.6539130864075633
0.1202173024125241,0.7290729598691512,1066,0.4290149863391865,0.6117522185058564
0.1402535194812781,0.6956597932122204,1172,0.40001526426393225,0.5751700134529701
0.1602897365500321,0.6551784566855541,1283,0.3639978108764983,0.5359589252434493
0.1803259536187861,0.6232840703312109,1349,0.3080544525245861,0.5043876430149463
0.2003621706875401,0.5870085869501723,1427,0.30401191550545636,0.4713599842020167
0.2203983877562941,0.5465856650505286,1495,0.2693394246651034,0.4365180257457759
0.2404346048250482,0.5077399380804953,1526,0.23977810636615188,0.4016143564173136
0.2604708218938022,0.4650972603539926,1533,0.22954101668202617,0.36302037693000755
0.2805070389625562,0.450201530463228,1528,0.20272743923072875,0.3487775076212927
0.3005432560313102,0.41731409544950054,1581,0.195027275029968,0.31920565765276526
0.3205794731000642,0.3932472691161867,1573,0.1660964256328541,0.2975574836774743
0.3406156901688182,0.36047666335650447,1550,0.15853649770718944,0.2678375276156153
0.3606519072375723,0.33681873941234886,1548,0.13336231679873287,0.2468928575836491
0.3806881243063263,0.30317191424732753,1549,0.12680329685776595,0.21820964417511077
0.4007243413750803,0.2869910625620655,1520,0.11929760896568013,0.20569467928859705
0.4207605584438343,0.27519130790349905,1523,0.1040942816348688,0.19685768238648285
0.4407967755125883,0.2625153338395934,1495,0.1116631221414304,0.18735420806437678
0.4608329925813423,0.24434838483556282,1467,0.10814141954163918,0.17290152179010898
0.4808692096500964,0.22045680238331677,1456,0.08070777566815171,0.1564617454303099
0.5009054267188504,0.21391436415678486,1426,0.08355479145410896,0.1520062204559199
0.5209416437876044,0.20486009696828086,1386,0.0743675643588949,0.14582279105932883
0.5409778608563585,0.16794205268999357,1333,0.05719651684809803,0.11899090381743456
0.5610140779251125,0.14177229978386588,1296,0.05035663008902177,0.10083556520987867
0.5810502949938665,0.10333547520299083,1261,0.04010502165942685,0.07239919529022623
0.6010865120626204,0.08464279455575677,1230,0.033055283675642096,0.05883514557594757
0.6211227291313745,0.0407149950347567,1182,0.02436807864044367,0.02969527171297039
0.6411589462001285,0.038086336818739415,1133,0.02391236881773025,0.02780691902299347
0.6611951632688825,0.028739996495122377,1114,0.019686561166079523,0.01952531997087247
0.6812313803376365,0.028331094105964134,1049,0.023161819278329162,0.019229107784209422
0.7012675974063906,0.02751328932764764,986,0.021769405332220697,0.018661367759771917
0.7213038144751446,0.02704597231146679,930,0.018901947142767796,0.01838983992199746
0.7413400315438986,0.025351948127811205,876,0.02094284250910305,0.01713093812867951
0.7613762486126526,0.02412524096033647,843,0.025041553928879932,0.016254643743134664
0.7814124656814067,0.022548046030726094,785,0.025771831510867965,0.015390691532034114
0.8014486827501607,0.016239266312284596,743,0.020587723280009858,0.010898140034311245
0.8214848998189147,0.010865120626204802,677,0.022447356362151647,0.00768917467879491
0.8415211168876686,0.010105730474910918,614,0.024017936079280135,0.006812880293250065
0.8615573339564226,0.008645364799345755,532,0.027593300011079056,0.006232798094368266
0.8815935510251767,0.008528535545300543,461,0.02786558039857876,0.006134060698813917
0.9016297680939308,0.008528535545300543,398,0.03346455991533555,0.006134060698813917
0.9216659851626848,0.008470120918277937,330,0.048558547855386096,0.00610937634992533
0.9417022022314387,0.007944389275074478,271,0.058642033922744155,0.005751453291040816
0.9617384193001928,0.00759390151293884,146,0.11669463178283863,0.00549226762771065
0.9817746363689468,0.007301828377825808,53,0.3706246499423487,0.00535650370882342
1.0,0.0,0,0.0,0.0
